id,category_id,subcategory,status,created_at,updated_at,user_id,description,account_id,email_lead_price,phone_lead_price,instance_type,use_cases,slug,demo_prompt_id,demo_theme_key,demo_template_config,credit_price,question_templates
00c1020d-6db2-4e7a-ab39-ee2084cac769,efc15f83-f229-4164-be23-8b66f3bf5643,General Upholstered Household Furniture Manufacturing,active,2025-09-29 03:21:38.417169+00,2025-10-22 17:59:18.475686+00,,AI visualization for General Upholstered Household Furniture Manufacturing products. Let shoppers preview items before purchase.,,83.00,250.00,ecomm,"[{""desc"":""Visitors see before/after visuals for General Upholstered Household Furniture Manufacturing in seconds."",""title"":""Instant Previews""},{""desc"":""Collect emails/phones on export or share to qualify demand."",""title"":""Lead Capture""},{""desc"":""Customize prompts, colors, and guardrails for your brand."",""title"":""On‑brand Results""}]",general-upholstered-household-furniture-manufacturing,,violet,"{""logo_url"":""https://api.iconify.design/mdi:hvac.svg?color=%238b5cf6"",""theme_key"":""violet"",""brand_name"":""General Upholstered Household Furniture Manufacturing Inc""}",3,
02973649-161b-4bbb-bfe0-57f34735d7f4,a27d44ea-6de8-4f7e-a6b8-fb05631d97b9,General Window Treatment Stores (E-commerce),active,2025-09-29 03:21:38.417169+00,2025-10-22 17:59:18.943909+00,,AI visualization for General Window Treatment Stores across e-commerce and services.,,33.00,83.00,ecomm,"[{""desc"":""Visitors see before/after visuals for General Window Treatment Stores in seconds."",""title"":""Instant Previews""},{""desc"":""Collect emails/phones on export or share to qualify demand."",""title"":""Lead Capture""},{""desc"":""Customize prompts, colors, and guardrails for your brand."",""title"":""On‑brand Results""}]",general-window-treatment-stores,,neutral,"{""logo_url"":""https://api.iconify.design/mdi:window-closed.svg?color=%230ea5e9"",""theme_key"":""cyan"",""brand_name"":""Evergreen Sample General Window Treatment Stores Solutions""}",1,
033fbf89-875e-4335-a1e3-fcc6de7fb01b,c157ff78-7213-4710-a961-1ba8e08b1e0c,Home Theater Design (Service),active,2025-09-29 03:21:38.417169+00,2025-10-22 17:59:21.456481+00,,AI visualization for Home Theater Design across e-commerce and services.,,133.00,417.00,service,"[{""desc"":""Visitors see before/after visuals for Home Theater Design in seconds."",""title"":""Instant Previews""},{""desc"":""Collect emails/phones on export or share to qualify demand."",""title"":""Lead Capture""},{""desc"":""Customize prompts, colors, and guardrails for your brand."",""title"":""On‑brand Results""}]",home-theater-design-service,,neutral,"{""logo_url"":""data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz4KPHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCI+CiAgPGRlZnM+CiAgICA8c3R5bGU+CiAgICAgIC50ZXh0IHsgZm9udC1mYW1pbHk6IEludGVyLCBzeXN0ZW0tdWksIC1hcHBsZS1zeXN0ZW0sIFNlZ29lIFVJLCBSb2JvdG8sIFVidW50dSwgQ2FudGFyZWxsLCBOb3RvIFNhbnMsIEhlbHZldGljYSBOZXVlLCBBcmlhbCwgIkFwcGxlIENvbG9yIEVtb2ppIiwgIlNlZ29lIFVJIEVtb2ppIjsgZm9udC13ZWlnaHQ6IDcwMDsgfQogICAgPC9zdHlsZT4KICA8L2RlZnM+CiAgPHJlY3Qgd2lkdGg9IjEyOCIgaGVpZ2h0PSIxMjgiIHJ4PSIxNiIgZmlsbD0iI2VmNDQ0NCIvPgogIDx0ZXh0IHg9IjUwJSIgeT0iNTAlIiBkb21pbmFudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSIjZmZmZmZmIiBmb250LXNpemU9IjU2IiBjbGFzcz0idGV4dCI+SFQ8L3RleHQ+Cjwvc3ZnPg=="",""theme_key"":""neutral"",""brand_name"":""Northstar Sample Home Theater Design""}",4,
04ec1dca-3416-467a-bd97-6499c79cbaaa,e75095cb-4bac-4db4-bff0-cfd99f8b6bb6,General Residential Electric Lighting Fixture Manufacturing (Service),active,2025-09-29 03:21:38.417169+00,2025-10-22 17:59:14.997886+00,,AI visualization for General Residential Electric Lighting Fixture Manufacturing across e-commerce and services.,,133.00,417.00,service,"[{""desc"":""Visitors see before/after visuals for General Residential Electric Lighting Fixture Manufacturing in seconds."",""title"":""Instant Previews""},{""desc"":""Collect emails/phones on export or share to qualify demand."",""title"":""Lead Capture""},{""desc"":""Customize prompts, colors, and guardrails for your brand."",""title"":""On‑brand Results""}]",general-residential-electric-lighting-fixture-manufacturing-service,,neutral,"{""logo_url"":""https://api.iconify.design/mdi:hvac.svg?color=%2322c55e"",""theme_key"":""green"",""brand_name"":""ProCare Sample General Residential Electric Lighting Fixture Manufacturing Solutions""}",4,
06b53935-adfa-4d15-ab73-f578b97e3109,c157ff78-7213-4710-a961-1ba8e08b1e0c,General Other Specialized Design Services (E-commerce),active,2025-09-29 03:21:38.417169+00,2025-10-22 17:59:11.770347+00,,AI visualization for General Other Specialized Design Services across e-commerce and services.,,33.00,83.00,ecomm,"[{""desc"":""Visitors see before/after visuals for General Other Specialized Design Services in seconds."",""title"":""Instant Previews""},{""desc"":""Collect emails/phones on export or share to qualify demand."",""title"":""Lead Capture""},{""desc"":""Customize prompts, colors, and guardrails for your brand."",""title"":""On‑brand Results""}]",general-other-specialized-design-services,,neutral,"{""logo_url"":""data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz4KPHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCI+CiAgPGRlZnM+CiAgICA8c3R5bGU+CiAgICAgIC50ZXh0IHsgZm9udC1mYW1pbHk6IEludGVyLCBzeXN0ZW0tdWksIC1hcHBsZS1zeXN0ZW0sIFNlZ29lIFVJLCBSb2JvdG8sIFVidW50dSwgQ2FudGFyZWxsLCBOb3RvIFNhbnMsIEhlbHZldGljYSBOZXVlLCBBcmlhbCwgIkFwcGxlIENvbG9yIEVtb2ppIiwgIlNlZ29lIFVJIEVtb2ppIjsgZm9udC13ZWlnaHQ6IDcwMDsgfQogICAgPC9zdHlsZT4KICA8L2RlZnM+CiAgPHJlY3Qgd2lkdGg9IjEyOCIgaGVpZ2h0PSIxMjgiIHJ4PSIxNiIgZmlsbD0iIzBmNzY2ZSIvPgogIDx0ZXh0IHg9IjUwJSIgeT0iNTAlIiBkb21pbmFudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSIjZmZmZmZmIiBmb250LXNpemU9IjU2IiBjbGFzcz0idGV4dCI+R088L3RleHQ+Cjwvc3ZnPg=="",""theme_key"":""neutral"",""brand_name"":""TrueClean Sample General Other Specialized Design Services Solutions""}",1,
0723019a-5590-4c72-a5b3-1faaba81f361,5caf5bfc-7590-4f95-91be-377f179a5f04,General Ornamental and Architectural Metal Work Manufacturing (Service),active,2025-09-29 03:21:38.417169+00,2025-10-22 17:59:09.515326+00,,AI visualization for General Ornamental and Architectural Metal Work Manufacturing across e-commerce and services.,,250.00,834.00,service,"[{""desc"":""Visitors see before/after visuals for General Ornamental and Architectural Metal Work Manufacturing in seconds."",""title"":""Instant Previews""},{""desc"":""Collect emails/phones on export or share to qualify demand."",""title"":""Lead Capture""},{""desc"":""Customize prompts, colors, and guardrails for your brand."",""title"":""On‑brand Results""}]",general-ornamental-and-architectural-metal-work-manufacturing-service,,green,"{""logo_url"":""https://api.iconify.design/mdi:hvac.svg?color=%2316a34a"",""theme_key"":""neutral"",""brand_name"":""General Ornamental And Architectural Metal Work Manufacturing Inc""}",10,
08e7be2b-47be-49a5-88ec-2826a2bf0a41,e75095cb-4bac-4db4-bff0-cfd99f8b6bb6,Lighting & Smart Lighting (Service),active,2025-09-29 03:21:38.417169+00,2025-10-22 17:59:22.563781+00,,AI visualization for Lighting & Smart Lighting across e-commerce and services.,,133.00,417.00,service,"[{""desc"":""Visitors see before/after visuals for Lighting & Smart Lighting in seconds."",""title"":""Instant Previews""},{""desc"":""Collect emails/phones on export or share to qualify demand."",""title"":""Lead Capture""},{""desc"":""Customize prompts, colors, and guardrails for your brand."",""title"":""On‑brand Results""}]",lighting-smart-lighting-service,,neutral,"{""logo_url"":""https://api.iconify.design/mdi:lightbulb-on-outline.svg?color=%2322c55e"",""theme_key"":""green"",""brand_name"":""Evergreen Sample Lighting & Smart Lighting""}",4,
090c2741-4e44-4e07-96e4-3b7a85384189,2aeabf0a-7ec3-44b7-a194-397fb7e0f07d,Nursery Design (Service),active,2025-09-29 03:21:38.417169+00,2025-10-22 17:59:23.761811+00,,AI visualization for Nursery Design across e-commerce and services.,,133.00,417.00,service,"[{""desc"":""Visitors see before/after visuals for Nursery Design in seconds."",""title"":""Instant Previews""},{""desc"":""Collect emails/phones on export or share to qualify demand."",""title"":""Lead Capture""},{""desc"":""Customize prompts, colors, and guardrails for your brand."",""title"":""On‑brand Results""}]",nursery-design-service,,cyan,"{""logo_url"":""data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz4KPHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCI+CiAgPGRlZnM+CiAgICA8c3R5bGU+CiAgICAgIC50ZXh0IHsgZm9udC1mYW1pbHk6IEludGVyLCBzeXN0ZW0tdWksIC1hcHBsZS1zeXN0ZW0sIFNlZ29lIFVJLCBSb2JvdG8sIFVidW50dSwgQ2FudGFyZWxsLCBOb3RvIFNhbnMsIEhlbHZldGljYSBOZXVlLCBBcmlhbCwgIkFwcGxlIENvbG9yIEVtb2ppIiwgIlNlZ29lIFVJIEVtb2ppIjsgZm9udC13ZWlnaHQ6IDcwMDsgfQogICAgPC9zdHlsZT4KICA8L2RlZnM+CiAgPHJlY3Qgd2lkdGg9IjEyOCIgaGVpZ2h0PSIxMjgiIHJ4PSIxNiIgZmlsbD0iIzA2YjZkNCIvPgogIDx0ZXh0IHg9IjUwJSIgeT0iNTAlIiBkb21pbmFudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSIjZmZmZmZmIiBmb250LXNpemU9IjU2IiBjbGFzcz0idGV4dCI+TkQ8L3RleHQ+Cjwvc3ZnPg=="",""theme_key"":""neutral"",""brand_name"":""Keystone Nursery Design""}",6,
0910de4a-c9c0-418a-b6cb-11217231a8da,475e027d-171c-4c6a-9dad-e15f807aec4e,General Custom Architectural Woodwork and Millwork Manufacturing (Service),active,2025-09-29 03:21:38.417169+00,2025-10-22 17:59:02.105289+00,,AI visualization for General Custom Architectural Woodwork and Millwork Manufacturing across e-commerce and services.,,250.00,834.00,service,"[{""desc"":""Visitors see before/after visuals for General Custom Architectural Woodwork and Millwork Manufacturing in seconds."",""title"":""Instant Previews""},{""desc"":""Collect emails/phones on export or share to qualify demand."",""title"":""Lead Capture""},{""desc"":""Customize prompts, colors, and guardrails for your brand."",""title"":""On‑brand Results""}]",general-custom-architectural-woodwork-and-millwork-manufacturing-service,,neutral,"{""logo_url"":""https://api.iconify.design/mdi:hvac.svg?color=%23111827"",""theme_key"":""neutral"",""brand_name"":""General Custom Architectural Woodwork And Millwork Manufacturing Company""}",10,
0a71da4a-fb63-4000-bf35-f18f166c7172,56819f4b-979c-4d22-bd31-01c8e03053f2,General Floor Covering Stores (Service),active,2025-09-29 03:21:38.417169+00,2025-10-22 17:59:03.279675+00,,AI visualization for General Floor Covering Stores across e-commerce and services.,,133.00,417.00,service,"[{""desc"":""Visitors see before/after visuals for General Floor Covering Stores in seconds."",""title"":""Instant Previews""},{""desc"":""Collect emails/phones on export or share to qualify demand."",""title"":""Lead Capture""},{""desc"":""Customize prompts, colors, and guardrails for your brand."",""title"":""On‑brand Results""}]",general-floor-covering-stores-service,,violet,"{""logo_url"":""https://api.iconify.design/mdi:floor-plan.svg?color=%238b5cf6"",""theme_key"":""violet"",""brand_name"":""General Floor Covering Stores Pros""}",4,
